country_id,value,date
AED,3.67304,2020-08-09
AED,3.6732,2020-08-10
AED,3.6732,2020-08-11
AED,3.6732,2020-08-12
AED,3.6732,2020-08-13
AED,3.67315,2020-08-14
AED,3.67315,2020-08-15
AED,3.67302,2020-08-16
AED,3.6732,2020-08-17
AED,3.6732,2020-08-18
AED,3.6732,2020-08-19
AED,3.6732,2020-08-20
AED,3.67294,2020-08-21
AED,3.67294,2020-08-22
AED,3.67294,2020-08-23
AED,3.6732,2020-08-24
AED,3.6732,2020-08-25
AED,3.6732,2020-08-26
AED,3.6732,2020-08-27
AED,3.6732,2020-08-28
AED,3.6732,2020-08-29
AED,3.67299,2020-08-30
AED,3.6732,2020-08-31
AED,3.6732,2020-09-01
AED,3.6732,2020-09-02
AED,3.6732,2020-09-03
AED,3.6729,2020-09-04
AED,3.6729,2020-09-05
AED,3.67298,2020-09-06
AED,3.6732,2020-09-07
AED,3.6732,2020-09-08
AED,3.6732,2020-09-09
AED,3.6732,2020-09-10
AED,3.67285,2020-09-11
AED,3.67285,2020-09-12
AED,3.67296,2020-09-13
AED,3.6732,2020-09-14
AED,3.6732,2020-09-15
AED,3.67295,2020-09-16
AED,3.6732,2020-09-17
AED,3.67295,2020-09-18
AED,3.67295,2020-09-19
AED,3.67296,2020-09-20
AED,3.6732,2020-09-21
AED,3.6732,2020-09-22
AED,3.6732,2020-09-23
AED,3.673,2020-09-24
AED,3.673,2020-09-25
AED,3.673,2020-09-26
AED,3.67296,2020-09-27
AED,3.6732,2020-09-28
AED,3.6732,2020-09-29
AED,3.6732,2020-09-30
AED,3.6732,2020-10-01
AED,3.6732,2020-10-02
AED,3.6732,2020-10-03
AED,3.673,2020-10-04
AED,3.6732,2020-10-05
AED,3.673,2020-10-06
AED,3.6732,2020-10-07
AED,3.6732,2020-10-08
AED,3.67295,2020-10-09
AED,3.67295,2020-10-10
AED,3.67296,2020-10-11
AED,3.6732,2020-10-12
AED,3.6732,2020-10-13
AED,3.6732,2020-10-14
AED,3.6732,2020-10-15
AED,3.673,2020-10-16
AED,3.673,2020-10-17
AED,3.67297,2020-10-18
AED,3.6732,2020-10-19
AED,3.673,2020-10-20
AED,3.67299,2020-10-21
AED,3.673,2020-10-22
AED,3.673,2020-10-23
AED,3.673,2020-10-24
AED,3.67303,2020-10-25
AED,3.6732,2020-10-26
AED,3.6732,2020-10-27
AED,3.6732,2020-10-28
AED,3.6732,2020-10-29
AED,3.673,2020-10-30
AED,3.673,2020-10-31
AED,3.67297,2020-11-01
AED,3.67299,2020-11-02
AED,3.67299,2020-11-03
AED,3.673,2020-11-04
AED,3.67299,2020-11-05
AED,3.673,2020-11-06
AED,3.673,2020-11-07
AED,3.67297,2020-11-08
AED,3.67299,2020-11-09
AED,3.673,2020-11-10
AED,3.67298,2020-11-11
AED,3.67299,2020-11-12
AED,3.673,2020-11-13
AED,3.673,2020-11-14
AED,3.67297,2020-11-15
AED,3.673,2020-11-16
AED,3.6731,2020-11-17
AED,3.6732,2020-11-18
AED,3.67299,2020-11-19
AED,3.673,2020-11-20
AED,3.673,2020-11-21
AED,3.67299,2020-11-22
AED,3.6732,2020-11-23
AED,3.6732,2020-11-24
AED,3.6732,2020-11-25
AED,3.6731,2020-11-26
AED,3.673,2020-11-27
AED,3.673,2020-11-28
AED,3.67302,2020-11-29
AED,3.6732,2020-11-30
AED,3.6732,2020-12-01
AED,3.673,2020-12-02
AED,3.673,2020-12-03
AED,3.673,2020-12-04
AED,3.673,2020-12-05
AED,3.67298,2020-12-06
AED,3.6732,2020-12-07
AED,3.673,2020-12-08
AED,3.6732,2020-12-09
AFN,76.8752,2020-08-09
AFN,76.85,2020-08-10
AFN,76.9631,2020-08-11
AFN,77,2020-08-12
AFN,77.0792,2020-08-13
AFN,77.0634,2020-08-14
AFN,77.0634,2020-08-15
AFN,77.0634,2020-08-16
AFN,77.1855,2020-08-17
AFN,76.9856,2020-08-18
AFN,76.8899,2020-08-19
AFN,77.8076,2020-08-20
AFN,78.0443,2020-08-21
AFN,78.0443,2020-08-22
AFN,78.0443,2020-08-23
AFN,77.1555,2020-08-24
AFN,76.9836,2020-08-25
AFN,77.024,2020-08-26
AFN,77.0143,2020-08-27
AFN,77.0003,2020-08-28
AFN,77.0003,2020-08-29
AFN,77.0003,2020-08-30
AFN,76.9431,2020-08-31
AFN,76.7938,2020-09-01
AFN,76.8196,2020-09-02
AFN,76.825,2020-09-03
AFN,76.85,2020-09-04
AFN,76.85,2020-09-05
AFN,76.8354,2020-09-06
AFN,76.8076,2020-09-07
AFN,76.4468,2020-09-08
AFN,76.6,2020-09-09
AFN,76.7214,2020-09-10
AFN,76.8,2020-09-11
AFN,76.8,2020-09-12
AFN,76.7885,2020-09-13
AFN,76.8,2020-09-14
AFN,76.8143,2020-09-15
AFN,76.7537,2020-09-16
AFN,76.7955,2020-09-17
AFN,76.825,2020-09-18
AFN,76.825,2020-09-19
AFN,76.8286,2020-09-20
AFN,76.7647,2020-09-21
AFN,77.0926,2020-09-22
AFN,76.8231,2020-09-23
AFN,76.8533,2020-09-24
AFN,76.9,2020-09-25
AFN,76.9,2020-09-26
AFN,76.9022,2020-09-27
AFN,77.0971,2020-09-28
AFN,77.15,2020-09-29
AFN,76.85,2020-09-30
AFN,76.75,2020-10-01
AFN,76.85,2020-10-02
AFN,76.85,2020-10-03
AFN,76.8485,2020-10-04
AFN,76.875,2020-10-05
AFN,76.85,2020-10-06
AFN,76.7966,2020-10-07
AFN,76.8477,2020-10-08
AFN,76.85,2020-10-09
AFN,76.85,2020-10-10
AFN,76.8356,2020-10-11
AFN,76.7806,2020-10-12
AFN,76.9413,2020-10-13
AFN,76.907,2020-10-14
AFN,76.898,2020-10-15
AFN,76.8,2020-10-16
AFN,76.8,2020-10-17
AFN,76.794,2020-10-18
AFN,76.85,2020-10-19
AFN,76.9,2020-10-20
AFN,76.9,2020-10-21
AFN,76.8859,2020-10-22
AFN,76.9,2020-10-23
AFN,76.9,2020-10-24
AFN,76.8977,2020-10-25
AFN,76.9,2020-10-26
AFN,76.85,2020-10-27
AFN,76.9,2020-10-28
AFN,76.8829,2020-10-29
AFN,76.85,2020-10-30
AFN,76.85,2020-10-31
AFN,76.8343,2020-11-01
AFN,76.8884,2020-11-02
AFN,76.8952,2020-11-03
AFN,76.95,2020-11-04
AFN,76.9338,2020-11-05
AFN,76.9,2020-11-06
AFN,76.9,2020-11-07
AFN,76.8936,2020-11-08
AFN,76.9926,2020-11-09
AFN,77,2020-11-10
AFN,77.0266,2020-11-11
AFN,76.9823,2020-11-12
AFN,76.95,2020-11-13
AFN,76.95,2020-11-14
AFN,77.0202,2020-11-15
AFN,77,2020-11-16
AFN,77,2020-11-17
AFN,77.05,2020-11-18
AFN,77.035,2020-11-19
AFN,77.05,2020-11-20
AFN,77.05,2020-11-21
AFN,77.04,2020-11-22
AFN,77.0038,2020-11-23
AFN,77,2020-11-24
AFN,76.9126,2020-11-25
AFN,76.9328,2020-11-26
AFN,77,2020-11-27
AFN,77,2020-11-28
AFN,76.9903,2020-11-29
AFN,77.05,2020-11-30
AFN,77,2020-12-01
AFN,76.95,2020-12-02
AFN,77.05,2020-12-03
AFN,76.95,2020-12-04
AFN,76.95,2020-12-05
AFN,76.956,2020-12-06
AFN,76.8814,2020-12-07
AFN,76.95,2020-12-08
AFN,76.9162,2020-12-09
ALL,105.025,2020-08-09
ALL,105.422,2020-08-10
ALL,105.276,2020-08-11
ALL,105.157,2020-08-12
ALL,104.668,2020-08-13
ALL,104.873,2020-08-14
ALL,104.873,2020-08-15
ALL,104.873,2020-08-16
ALL,104.466,2020-08-17
ALL,103.812,2020-08-18
ALL,103.664,2020-08-19
ALL,104.692,2020-08-20
ALL,104.857,2020-08-21
ALL,104.857,2020-08-22
ALL,104.857,2020-08-23
ALL,104.695,2020-08-24
ALL,105.09,2020-08-25
ALL,105.238,2020-08-26
ALL,105.175,2020-08-27
ALL,105.049,2020-08-28
ALL,105.049,2020-08-29
ALL,104.209,2020-08-30
ALL,104.111,2020-08-31
ALL,103.59,2020-09-01
ALL,104.645,2020-09-02
ALL,104.916,2020-09-03
ALL,104.753,2020-09-04
ALL,104.753,2020-09-05
ALL,104.872,2020-09-06
ALL,105.058,2020-09-07
ALL,105.229,2020-09-08
ALL,105.435,2020-09-09
ALL,104.92,2020-09-10
ALL,105,2020-09-11
ALL,105,2020-09-12
ALL,104.754,2020-09-13
ALL,104.62,2020-09-14
ALL,104.463,2020-09-15
ALL,104.666,2020-09-16
ALL,105.099,2020-09-17
ALL,104.65,2020-09-18
ALL,104.65,2020-09-19
ALL,104.73,2020-09-20
ALL,105.355,2020-09-21
ALL,105.563,2020-09-22
ALL,105.769,2020-09-23
ALL,106.295,2020-09-24
ALL,106.325,2020-09-25
ALL,106.325,2020-09-26
ALL,106.394,2020-09-27
ALL,106.278,2020-09-28
ALL,106.169,2020-09-29
ALL,105.868,2020-09-30
ALL,105.584,2020-10-01
ALL,105.9,2020-10-02
ALL,105.9,2020-10-03
ALL,105.88,2020-10-04
ALL,105.25,2020-10-05
ALL,105.3,2020-10-06
ALL,105.409,2020-10-07
ALL,105.432,2020-10-08
ALL,104.9,2020-10-09
ALL,104.9,2020-10-10
ALL,105.028,2020-10-11
ALL,105.243,2020-10-12
ALL,105.27,2020-10-13
ALL,105.634,2020-10-14
ALL,105.85,2020-10-15
ALL,105.7,2020-10-16
ALL,105.7,2020-10-17
ALL,105.7,2020-10-18
ALL,105.483,2020-10-19
ALL,104.803,2020-10-20
ALL,104.737,2020-10-21
ALL,104.838,2020-10-22
ALL,104.75,2020-10-23
ALL,104.75,2020-10-24
ALL,104.7,2020-10-25
ALL,104.876,2020-10-26
ALL,104.946,2020-10-27
ALL,105.652,2020-10-28
ALL,106.282,2020-10-29
ALL,106.425,2020-10-30
ALL,106.425,2020-10-31
ALL,106.165,2020-11-01
ALL,106.414,2020-11-02
ALL,105.842,2020-11-03
ALL,105.714,2020-11-04
ALL,104.758,2020-11-05
ALL,104.2,2020-11-06
ALL,104.2,2020-11-07
ALL,104.244,2020-11-08
ALL,104.421,2020-11-09
ALL,104.5,2020-11-10
ALL,104.995,2020-11-11
ALL,104.711,2020-11-12
ALL,104.8,2020-11-13
