date,day,month,year,day_name,month_name,decade,quarter,weekend
2018-12-01,1,12,2018,Saturday,December,1,4,YES
2018-12-02,2,12,2018,Sunday,December,1,4,YES
2018-12-03,3,12,2018,Monday,December,1,4,NO
2018-12-04,4,12,2018,Tuesday,December,1,4,NO
2018-12-05,5,12,2018,Wednesday,December,1,4,NO
2018-12-06,6,12,2018,Thursday,December,1,4,NO
2018-12-07,7,12,2018,Friday,December,1,4,NO
2018-12-08,8,12,2018,Saturday,December,1,4,YES
2018-12-09,9,12,2018,Sunday,December,1,4,YES
2018-12-10,10,12,2018,Monday,December,2,4,NO
2018-12-11,11,12,2018,Tuesday,December,2,4,NO
2018-12-12,12,12,2018,Wednesday,December,2,4,NO
2018-12-13,13,12,2018,Thursday,December,2,4,NO
2018-12-14,14,12,2018,Friday,December,2,4,NO
2018-12-15,15,12,2018,Saturday,December,2,4,YES
2018-12-16,16,12,2018,Sunday,December,2,4,YES
2018-12-17,17,12,2018,Monday,December,2,4,NO
2018-12-18,18,12,2018,Tuesday,December,2,4,NO
2018-12-19,19,12,2018,Wednesday,December,2,4,NO
2018-12-20,20,12,2018,Thursday,December,3,4,NO
2018-12-21,21,12,2018,Friday,December,3,4,NO
2018-12-22,22,12,2018,Saturday,December,3,4,YES
2018-12-23,23,12,2018,Sunday,December,3,4,YES
2018-12-24,24,12,2018,Monday,December,3,4,NO
2018-12-25,25,12,2018,Tuesday,December,3,4,NO
2018-12-26,26,12,2018,Wednesday,December,3,4,NO
2018-12-27,27,12,2018,Thursday,December,3,4,NO
2018-12-28,28,12,2018,Friday,December,3,4,NO
2018-12-29,29,12,2018,Saturday,December,3,4,YES
2018-12-30,30,12,2018,Sunday,December,3,4,YES
2018-12-31,31,12,2018,Monday,December,3,4,NO
2019-01-01,1,1,2019,Tuesday,January,1,1,NO
2019-01-02,2,1,2019,Wednesday,January,1,1,NO
2019-01-03,3,1,2019,Thursday,January,1,1,NO
2019-01-04,4,1,2019,Friday,January,1,1,NO
2019-01-05,5,1,2019,Saturday,January,1,1,YES
2019-01-06,6,1,2019,Sunday,January,1,1,YES
2019-01-07,7,1,2019,Monday,January,1,1,NO
2019-01-08,8,1,2019,Tuesday,January,1,1,NO
2019-01-09,9,1,2019,Wednesday,January,1,1,NO
2019-01-10,10,1,2019,Thursday,January,2,1,NO
2019-01-11,11,1,2019,Friday,January,2,1,NO
2019-01-12,12,1,2019,Saturday,January,2,1,YES
2019-01-13,13,1,2019,Sunday,January,2,1,YES
2019-01-14,14,1,2019,Monday,January,2,1,NO
2019-01-15,15,1,2019,Tuesday,January,2,1,NO
2019-01-16,16,1,2019,Wednesday,January,2,1,NO
2019-01-17,17,1,2019,Thursday,January,2,1,NO
2019-01-18,18,1,2019,Friday,January,2,1,NO
2019-01-19,19,1,2019,Saturday,January,2,1,YES
2019-01-20,20,1,2019,Sunday,January,3,1,YES
2019-01-21,21,1,2019,Monday,January,3,1,NO
2019-01-22,22,1,2019,Tuesday,January,3,1,NO
2019-01-23,23,1,2019,Wednesday,January,3,1,NO
2019-01-24,24,1,2019,Thursday,January,3,1,NO
2019-01-25,25,1,2019,Friday,January,3,1,NO
2019-01-26,26,1,2019,Saturday,January,3,1,YES
2019-01-27,27,1,2019,Sunday,January,3,1,YES
2019-01-28,28,1,2019,Monday,January,3,1,NO
2019-01-29,29,1,2019,Tuesday,January,3,1,NO
2019-01-30,30,1,2019,Wednesday,January,3,1,NO
2019-01-31,31,1,2019,Thursday,January,3,1,NO
2019-02-01,1,2,2019,Friday,February,1,1,NO
